URL,TEXT
https://takecontrol.substack.com/p/melatonin-in-mitochondria,STORY AT-A-GLANCE The vast majority 95% of the melatonin your body produces is made inside your mitochondria in response to near-infrared radiation from the sun.
https://takecontrol.substack.com/p/melatonin-in-mitochondria, Only 5% of melatonin is produced in your pineal gland at nightDuring the day near-infrared rays from the sun penetrate deep into your body and activate cytochrome c oxidase which in turn stimulates the production of melatonin inside your mitochondriaYour mitochondria produce ATP the energy currency of your body.
https://takecontrol.substack.com/p/melatonin-in-mitochondria, A byproduct of this ATP production is reactive oxidative species (ROS) which are responsible for oxidative stressExcessive amounts of ROS will damage the mitochondria contributing to suboptimal health inflammation and chronic health conditions such as diabetes obesity and thrombosis (blood clots)Melatonin mops up ROS that damage your mitochondria.
https://takecontrol.substack.com/p/melatonin-in-mitochondria, Provided you get good sleep and plenty of sun exposure during the day your mitochondria will be bathed in melatonin thereby reducing oxidative stressI have been absolutely fascinated with the association of sun exposure to health for nearly three decades.
https://takecontrol.substack.com/p/melatonin-in-mitochondria, It was obvious to me that nearly all dermatologists are seriously confused about avoiding the sun as sun exposure is essential to stay healthy.
https://takecontrol.substack.com/p/melatonin-in-mitochondria,I always knew there was some important fact we were missing and I sincerely believe that in the MedCram video above we learn what that is.
https://takecontrol.substack.com/p/melatonin-in-mitochondria, Dr. Roger Seheult explains the ins and outs of how sunlight impacts your health — not only through increasing your vitamin D levels but through melatonin!
https://takecontrol.substack.com/p/melatonin-in-mitochondria, It’s nearly two hours long but well worth it if you have the time and are a fraction as fascinated by new science insights that could radically change your health as I am.
https://takecontrol.substack.com/p/melatonin-in-mitochondria, A condensed 25-minute version is included below. Seheult’s review is primarily based on the February 2020 paper 1“Melatonin in Mitochondria: Mitigating Clear and Present Dangers” published in the Physiology journal.
https://takecontrol.substack.com/p/melatonin-in-mitochondria, It’s written by the best researcher in melatonin Russel Reiter Ph.D. whom I first heard lecture on melatonin over 25 years ago.
https://takecontrol.substack.com/p/melatonin-in-mitochondria, his paper is one of the best papers I’ve read in a long while and you can access the full paper for free. Melatonin Is Produced in Response to Sun Exposure To summarize the key finding before we dive into the nitty-gritty the vast majority of the melatonin your body produces — 95% — is actually made inside your mitochondria in response to near-infrared radiation from the sun.
https://takecontrol.substack.com/p/melatonin-in-mitochondria, Only 5% of melatonin is produced in your pineal gland.It is important to note that melatonin supplements contrary to what you might expect do not wind up in your mitochondria where they are needed most to quench the damage from oxidative stress produced in the electron transport chain.
https://takecontrol.substack.com/p/melatonin-in-mitochondria, Melatonin of course is a master hormone 2a potent antioxidant 3and antioxidant recycler 4and a master regulator of inflammation and cell death.
https://takecontrol.substack.com/p/melatonin-in-mitochondria, 5These functions are part of what makes melatonin such an important anticancer molecule. 6 Melatonin has also been shown to be an important part of COVID treatment reducing incidence of thrombosis and sepsis 7and lowering mortality.
https://takecontrol.substack.com/p/melatonin-in-mitochondria, 8 9As noted by Seheult evidence suggests sun exposure may help combat any number of respiratory infections including COVID and the production of melatonin in your mitochondria appears to be a key part of why that works.
https://takecontrol.substack.com/p/melatonin-in-mitochondria, Seheult reviews a number of evidences showing that COVID rates across the world correlate to the solar index or the amount of sun striking the area.
https://takecontrol.substack.com/p/melatonin-in-mitochondria, Positive case rates also correlate with vitamin D levels in the blood. Higher blood levels correlate with lower incidence of COVID and higher rates of survival for inpatients.
https://takecontrol.substack.com/p/melatonin-in-mitochondria,In short vitamin D is more than likely a MARKER or surrogate for sun exposure. But all the benefits are likely due to other factors than vitamin D itself.
https://takecontrol.substack.com/p/melatonin-in-mitochondria, As noted by Seheult some studies looking at the effect of giving vitamin D to patients treated for severe COVID found no benefit even at very high doses.
https://takecontrol.substack.com/p/melatonin-in-mitochondria, What’s more research 10looking at UVA levels and COVID mortality rates found areas of the U.S. the U.K. and Italy with higher UVA also had lower COVID mortality rates.
https://takecontrol.substack.com/p/melatonin-in-mitochondria, Vitamin D does not rise in response to UVA (only UVB) so something in the sunlight other than vitamin D must have a beneficial impact.
